Spot price,Strike Price,Risk Free Rate,Volatility,Maturity,Dividend,Option Price,Noise,Option Price with Noise
55.84,72.592,0.013,0.276,1.78,0,3.569202544,-0.262464821,3.306737723
57.96,34.776,0.033,0.171,0.85,0,24.14647503,0.05140206,24.19787709
43.7,52.44,0.041,0.262,1.19,0,2.764508665,0.17295537,2.937464035
54.44,65.328,0.041,0.289,1.63,0,5.529263091,-0.037865405,5.491397686
53.42,58.762,0.037,0.322,1.2,0,6.357703573,0.147198118,6.504901691
40.78,44.858,0.018,0.189,0.74,0,1.354884364,0.077132826,1.43201719
50.1,30.06,0.017,0.289,1.06,0,20.74827902,0.03317695,20.78145597
52.88,26.44,0.006,0.235,1.09,0,26.61815706,-0.1605065,26.45765056
55.12,27.56,0.019,0.284,1.69,0,28.56134247,-0.028424375,28.5329181
46.78,56.136,0.003,0.372,0.76,0,2.988946827,0.038250217,3.027197044
40.52,32.416,0.003,0.266,1.7,0,10.17490112,-0.068704048,10.10619707
47.31,28.386,0.045,0.357,0.69,0,19.93321178,0.065274523,19.9984863
50.26,35.182,0.046,0.257,1.83,0,18.59410672,-0.087539258,18.50656746
41.33,37.197,0.029,0.349,1.9,0,10.72951248,0.122527061,10.85203954
42.33,25.398,0.008,0.123,0.74,0,17.08191232,0.100908121,17.18282045
52.57,36.799,0.011,0.303,0.33,0,15.95785678,-0.015661672,15.94219511
46.95,32.865,0.022,0.232,1.77,0,15.89829598,-0.079692057,15.81860392
44.56,44.56,0.034,0.339,1.85,0,9.307156585,0.154459903,9.461616487
47.71,23.855,0.004,0.32,0.95,0,23.99151931,-0.065720343,23.92579896
46.75,51.425,0.004,0.144,0.41,0,0.364859848,-0.167747737,0.197112111
57.55,63.305,0.014,0.103,1.78,0,1.587682482,0.242847249,1.830529731
40.01,44.011,0.01,0.342,1.71,0,5.850374127,0.231240776,6.081614904
48.52,43.668,0.02,0.255,1.93,0,10.12885572,-0.037781871,10.09107385
54.32,59.752,0.027,0.142,1.51,0,2.54753708,-0.126365361,2.421171719
43.92,30.744,0.048,0.12,0.88,0,14.4477803,0.027677804,14.4754581
43.9,57.07,0.008,0.266,0.51,0,0.378829014,0.14056233,0.519391344
51.78,62.136,0.023,0.151,0.4,0,0.074470279,0.109650052,0.184120331
58.21,58.21,0.044,0.123,0.83,0,3.732309732,0.204233419,3.93654315
54.26,37.982,0.005,0.226,0.96,0,16.67473068,-0.048935709,16.62579497
57.22,28.61,0.017,0.182,1.26,0,29.21678979,0.008351402,29.22514119
50.51,25.255,0.039,0.292,1.51,0,26.77969315,0.033359941,26.81305309
44.4,57.72,0.049,0.259,0.37,0,0.205879166,-0.216482549,0
43.61,30.527,0.005,0.323,0.43,0,13.2911724,-0.113452846,13.17771955
45.06,27.036,0.011,0.209,0.54,0,18.18464738,0.122468102,18.30711548
52.6,47.34,0.029,0.2,0.45,0,6.562427525,0.112566714,6.674994239
45.88,64.232,0.03,0.339,1.44,0,2.944985746,-0.068392039,2.876593707
44.35,53.22,0.034,0.104,1.87,0,0.755070641,0.17844334,0.933513981
59.77,35.862,0.036,0.154,0.31,0,24.30599498,-0.253592524,24.05240245
56.15,39.305,0.04,0.17,0.62,0,17.81176293,-0.203459857,17.60830308
53.98,70.174,0.018,0.239,1.58,0,2.259883329,-0.184865177,2.075018152
40.46,40.46,0.023,0.219,1.1,0,4.180555197,-0.081665874,4.098889323
56.92,73.996,0.008,0.131,0.92,0,0.063624597,-0.100225761,0
45.16,31.612,0.027,0.304,0.81,0,14.61800587,0.001097184,14.61910305
52.79,31.674,0.04,0.182,1.12,0,22.50805855,-0.09194081,22.41611774
49.47,24.735,0.024,0.372,0.27,0,24.8950071,0.194962211,25.08996931
43.4,39.06,0.005,0.236,1.84,0,7.896756714,-0.259964344,7.63679237
47.12,61.256,0.005,0.342,0.45,0,0.786475417,-0.147496515,0.638978902
49.38,34.566,0.028,0.375,1.1,0,17.21692728,0.053626163,17.27055344
55.18,55.18,0.031,0.279,1.38,0,8.247107916,-0.242036775,8.00507114
50.43,55.473,0.04,0.311,1.99,0,8.431800649,0.22060708,8.652407729
52.53,42.024,0.047,0.17,1.95,0,14.64283986,-0.17820264,14.46463722
55.56,72.228,0.018,0.186,1.61,0,1.248400271,-0.082461929,1.165938342
49.31,64.103,0.006,0.247,0.27,0,0.05613506,-0.141006924,0
51.83,51.83,0.034,0.375,1.47,0,10.41093407,-0.124189855,10.28674421
50.45,45.405,0.006,0.287,1.9,0,10.57306235,0.01632952,10.58939187
53.96,43.168,0.034,0.2,1.49,0,13.67601482,0.076171439,13.75218626
59.83,59.83,0.016,0.39,0.4,0,6.046584189,-0.129334102,5.917250087
54.93,49.437,0.012,0.139,1.62,0,7.734515794,0.187420461,7.921936255
43.44,26.064,0.025,0.131,1.47,0,18.31684159,-0.011941687,18.3048999
51.43,72.002,0.015,0.189,0.98,0,0.196285337,-0.133459722,0.062825615
50.44,65.572,0.035,0.248,0.61,0,0.562391595,-0.132269758,0.430121836
46.28,27.768,0.019,0.131,1.98,0,19.53992034,0.002795842,19.54271619
44.9,53.88,0.02,0.244,0.54,0,0.791238629,0.035676693,0.826915323
46.86,65.604,0.03,0.192,0.79,0,0.122512942,0.002032282,0.124545224
53.58,69.654,0.007,0.22,1.42,0,1.416667152,-0.24532941,1.171337743
54.03,54.03,0.017,0.124,1.09,0,3.28713361,-0.156631482,3.130502128
52.42,52.42,0.036,0.13,0.25,0,1.600764165,0.091955832,1.692719998
44.07,30.849,0.003,0.214,1.01,0,13.46844554,0.110430782,13.57887633
47.96,28.776,0.027,0.326,1.97,0,21.52742902,0.154038216,21.68146724
45.23,63.322,0.016,0.233,1.66,0,1.232537647,-0.214828592,1.017709056
49.78,29.868,0.016,0.179,0.52,0,20.15950292,-0.276178245,19.88332468
59.4,83.16,0.018,0.284,1.16,0,1.655421518,0.054913984,1.710335502
56.68,79.352,0.023,0.376,0.86,0,2.269234001,-0.04976657,2.219467431
55.24,77.336,0.005,0.256,0.3,0,0.025703001,-0.103382697,0
54.62,49.158,0.025,0.319,1.41,0,11.7640275,0.305191134,12.06921864
51.81,25.905,0.01,0.143,1.28,0,26.23447877,-0.082607162,26.15187161
56.23,73.099,0.013,0.36,0.88,0,2.834603962,0.112568,2.947171962
44.12,35.296,0,0.186,0.99,0,9.22775668,-0.196048851,9.031707829
46.52,27.912,0.013,0.347,1.39,0,19.77353507,0.087086,19.86062107
47.66,57.192,0.015,0.221,1.22,0,1.883786319,-0.165678464,1.718107855
40.51,20.255,0.001,0.276,0.5,0,20.26538694,0.103518221,20.36890516
51.7,51.7,0.021,0.172,1.92,0,5.896959796,0.10303351,5.999993306
46.62,55.944,0.038,0.163,1.69,0,1.887848628,-0.235003129,1.652845499
54.39,32.634,0.001,0.22,1.14,0,21.84412105,0.135746118,21.97986717
52.2,36.54,0.038,0.2,0.52,0,16.38376458,0.11682336,16.50058794
42.74,25.644,0.012,0.243,1.43,0,17.66169965,0.064234931,17.72593458
57.46,45.968,0.006,0.373,1.08,0,15.14609599,0.016330798,15.16242679
40.99,49.188,0.01,0.312,1.41,0,3.4779044,0.004242545,3.482146945
58.62,58.62,0.033,0.138,0.31,0,2.101405685,-0.086823874,2.014581811
57.19,80.066,0.017,0.321,0.27,0,0.09800505,-0.17991768,0
45.22,27.132,0.032,0.384,1.47,0,20.21542648,-0.255892801,19.95953368
46.54,23.27,0.033,0.19,1.99,0,24.75484973,0.055374594,24.81022432
55.57,44.456,0.017,0.213,1.8,0,13.88101293,0.281486014,14.16249894
52.13,31.278,0.013,0.29,1.31,0,21.69296234,-0.056535503,21.63642684
45.07,63.098,0.03,0.304,1.37,0,2.098486734,0.274790412,2.373277147
58.5,76.05,0.019,0.198,0.6,0,0.216416574,0.000452615,0.216869189
50.98,71.372,0.023,0.147,0.78,0,0.017916504,-0.01140352,0.006512984
45.66,41.094,0.004,0.289,0.35,0,5.820596325,0.000593639,5.821189964
49.17,59.004,0.014,0.226,0.3,0,0.223475359,-0.027752117,0.195723243
58.51,40.957,0.016,0.398,1.08,0,20.22941428,-0.37307273,19.85634155
44.47,44.47,0.043,0.127,0.54,0,2.196780906,-0.255697681,1.941083225
49.1,39.28,0.032,0.119,1.05,0,11.15137814,-0.170439151,10.98093899
50.26,55.286,0.004,0.146,0.36,0,0.334628861,-0.445997321,0
59.46,35.676,0.048,0.161,1.11,0,25.6359423,0.004997592,25.64093989
54.45,38.115,0.034,0.283,1.08,0,18.25761494,-0.0373333,18.22028164
57.97,81.158,0.021,0.188,1.23,0,0.421735317,-0.067526465,0.354208852
58.85,76.505,0.008,0.393,1.45,0,5.87247569,0.01986417,5.89233986
58.75,52.875,0.036,0.178,0.4,0,7.089424357,0.003332089,7.092756446
55.85,33.51,0.047,0.383,0.73,0,23.74390547,0.047605196,23.79151067
51.59,61.908,0.017,0.289,1.77,0,4.91893191,-0.112862127,4.806069783
56.39,56.39,0.027,0.323,1.8,0,10.839515,-0.194458771,10.64505623
58.29,58.29,0.009,0.312,1.15,0,8.008239136,0.014270917,8.022510053
50.95,66.235,0.027,0.158,1.88,0,1.064351327,-0.063557265,1.000794062
51.25,56.375,0.049,0.267,0.25,0,1.158778252,-0.177897535,0.980880717
52.35,52.35,0.029,0.29,1.77,0,9.185454913,-0.054819299,9.130635614
48.09,52.899,0.024,0.2,1.23,0,2.946914186,-0.190653456,2.756260729
46.71,65.394,0.027,0.223,1.54,0,1.092961047,0.237925641,1.330886688
56.61,39.627,0.019,0.238,0.59,0,17.49522322,0.104008599,17.59923182
56.12,78.568,0.001,0.221,0.84,0,0.271759827,-0.293712185,0
41.62,54.106,0.013,0.364,1.75,0,4.419682442,-0.020220197,4.399462245
44.39,39.951,0.043,0.395,0.61,0,8.296063207,-0.231092404,8.064970804
41.09,45.199,0.027,0.348,0.28,0,1.618319224,0.307007095,1.925326319
41.58,20.79,0.023,0.138,1.03,0,21.27672717,-0.209549902,21.06717727
51.13,25.565,0.012,0.371,1.68,0,26.58828308,-0.164575798,26.42370728
59.8,35.88,0.034,0.302,0.29,0,24.27341474,-0.03580693,24.23760781
51.32,30.792,0.023,0.369,1.3,0,22.19737591,-0.214360035,21.98301587
48.15,57.78,0.046,0.114,0.49,0,0.03510093,0.142350716,0.177451647
48.6,29.16,0.004,0.148,1.4,0,19.60583389,-0.002909638,19.60292425
48.16,24.08,0.039,0.346,1.02,0,25.09417921,0.134189656,25.22836886
49.51,39.608,0.025,0.299,0.29,0,10.4308558,0.113953968,10.54480976
46.47,32.529,0.022,0.29,1.81,0,16.39741088,-0.224658057,16.17275282
46.94,61.022,0.013,0.316,1.63,0,3.577260815,-0.179082897,3.398177919
43.85,21.925,0.047,0.386,1.06,0,23.13212717,0.194439388,23.32656656
42.71,29.897,0.031,0.263,1.45,0,14.66133255,0.142841344,14.80417389
57.14,28.57,0.034,0.264,1.87,0,30.42113253,-0.18258812,30.23854441
46.62,51.282,0.001,0.31,1.43,0,5.124994361,-0.023589775,5.101404586
54.58,54.58,0.013,0.119,0.86,0,2.703989358,-0.226137774,2.477851584
54.5,32.7,0.041,0.253,1.98,0,24.63501077,0.01618262,24.65119339
56.82,39.774,0,0.205,1.53,0,17.47914931,0.112058348,17.59120766
47.68,66.752,0.007,0.172,1.02,0,0.108795999,0.064451465,0.173247465
49.47,34.629,0.002,0.342,0.31,0,14.9547268,-0.212256438,14.74247036
55.35,77.49,0.003,0.144,0.94,0,0.025559373,-0.096113988,0
41.06,24.636,0.047,0.246,0.27,0,16.73467435,0.116943946,16.85161829
43.81,52.572,0.048,0.303,1.57,0,4.766437936,-0.065718137,4.700719799
43.46,39.114,0.03,0.296,1.9,0,10.25493474,0.311218975,10.56615372
47.64,66.696,0.017,0.201,1.91,0,1.062274436,-0.051494652,1.010779783
52.81,26.405,0.034,0.372,1.86,0,28.55976744,-0.092494406,28.46727304
56.95,74.035,0.034,0.373,0.77,0,2.867029498,0.114477547,2.981507045
59.5,71.4,0.022,0.148,1.49,0,1.322360557,0.028937579,1.351298136
55.12,60.632,0.04,0.12,1.13,0,1.677621141,-0.05226884,1.625352301
50.12,65.156,0.007,0.188,1.42,0,0.82544812,0.344798091,1.170246212
40.68,24.408,0.012,0.344,0.95,0,16.81559436,-0.024781433,16.79081293
49.43,69.202,0.03,0.175,1.76,0,0.706042386,0.069944905,0.775987292
53.65,37.555,0.04,0.185,1.26,0,18.0262911,0.040498086,18.06678919
40.67,40.67,0.034,0.267,1.89,0,7.090359801,-0.047974657,7.042385144
46.37,64.918,0,0.318,1.36,0,1.995070451,-0.17216124,1.822909211
54.34,65.208,0.046,0.119,1.08,0,0.519436417,0.255543598,0.774980015
43.35,56.355,0.049,0.15,0.73,0,0.096072948,-0.108322616,0
44.43,31.101,0.037,0.146,1.93,0,15.51799527,0.164052997,15.68204827
59.66,29.83,0.032,0.229,0.38,0,30.19053662,-0.034427663,30.15610896
56.12,56.12,0.049,0.292,1.57,0,10.0928507,-0.001334799,10.0915159
53.91,48.519,0.01,0.308,0.84,0,9.079235377,-0.081479701,8.997755676
40.45,20.225,0.03,0.199,0.57,0,20.56790823,0.112959328,20.68086756
51.63,61.956,0.015,0.125,0.9,0,0.231550254,-0.241415834,0
45.92,27.552,0.003,0.318,1.47,0,19.05818982,0.29148934,19.34967916
56.36,50.724,0.033,0.398,1.04,0,12.63568112,-0.217115417,12.4185657
56.53,28.265,0.029,0.398,1.4,0,29.8529759,0.019537268,29.87251317
47.32,33.124,0.024,0.296,1.61,0,16.53744469,0.14240413,16.67984882
49.74,59.688,0.039,0.31,0.98,0,3.381582688,-0.302278308,3.07930438
55.61,38.927,0.049,0.374,0.4,0,17.69607501,-0.011931088,17.68414392
55.04,49.536,0.04,0.225,1.73,0,11.3606466,0.04515742,11.40580402
46.04,59.852,0.021,0.226,0.77,0,0.53001657,-0.252734994,0.277281576
42.78,55.614,0.009,0.149,1.64,0,0.421423149,0.033358621,0.45478177
41.89,41.89,0.022,0.252,1.04,0,4.724976593,-0.10273826,4.622238333
57.18,45.744,0.004,0.173,1.54,0,12.51367655,-0.018930178,12.49474637
